taskId time jobId jobSize runtime user peer TraceID Cluster.IAT Cluster.RT
5049 10850 5 60 660 1 1 jonquera-ga-8-cores C5 C4
5050 10850 5 60 420 1 1 jonquera-ga-8-cores C5 C4
5051 10850 5 60 300 1 1 jonquera-ga-8-cores C5 C4
5052 10850 5 60 3580 1 1 jonquera-ga-8-cores C5 C4
5053 10850 5 60 1130 1 1 jonquera-ga-8-cores C5 C4
5054 10850 5 60 400 1 1 jonquera-ga-8-cores C5 C4
5055 10850 5 60 600 1 1 jonquera-ga-8-cores C5 C4
5056 10850 5 60 520 1 1 jonquera-ga-8-cores C5 C4
5057 10850 5 60 2050 1 1 jonquera-ga-8-cores C5 C4
5058 10850 5 60 1600 1 1 jonquera-ga-8-cores C5 C4
5059 10850 5 60 1220 1 1 jonquera-ga-8-cores C5 C4
5060 10850 5 60 480 1 1 jonquera-ga-8-cores C5 C4
6001 14430 6 60 1640 1 1 jonquera-ga-8-cores C5 C4
6002 14430 6 60 820 1 1 jonquera-ga-8-cores C5 C4
6003 14430 6 60 640 1 1 jonquera-ga-8-cores C5 C4
6004 14430 6 60 400 1 1 jonquera-ga-8-cores C5 C4
6005 14430 6 60 970 1 1 jonquera-ga-8-cores C5 C4
6006 14430 6 60 360 1 1 jonquera-ga-8-cores C5 C4
6007 14430 6 60 1120 1 1 jonquera-ga-8-cores C5 C4
6008 14430 6 60 700 1 1 jonquera-ga-8-cores C5 C4
6009 14430 6 60 1270 1 1 jonquera-ga-8-cores C5 C4
6010 14430 6 60 1530 1 1 jonquera-ga-8-cores C5 C4
6011 14430 6 60 660 1 1 jonquera-ga-8-cores C5 C4
6012 14430 6 60 850 1 1 jonquera-ga-8-cores C5 C4
6013 14430 6 60 830 1 1 jonquera-ga-8-cores C5 C4
6014 14430 6 60 1210 1 1 jonquera-ga-8-cores C5 C4
6015 14430 6 60 2480 1 1 jonquera-ga-8-cores C5 C4
6016 14430 6 60 680 1 1 jonquera-ga-8-cores C5 C4
6017 14430 6 60 970 1 1 jonquera-ga-8-cores C5 C4
6018 14430 6 60 660 1 1 jonquera-ga-8-cores C5 C4
6019 14430 6 60 1320 1 1 jonquera-ga-8-cores C5 C4
6020 14430 6 60 1510 1 1 jonquera-ga-8-cores C5 C4
6021 14430 6 60 1930 1 1 jonquera-ga-8-cores C5 C4
6022 14430 6 60 320 1 1 jonquera-ga-8-cores C5 C4
6023 14430 6 60 420 1 1 jonquera-ga-8-cores C5 C4
6024 14430 6 60 1600 1 1 jonquera-ga-8-cores C5 C4
6025 14430 6 60 1620 1 1 jonquera-ga-8-cores C5 C4
6026 14430 6 60 680 1 1 jonquera-ga-8-cores C5 C4
6027 14430 6 60 360 1 1 jonquera-ga-8-cores C5 C4
6028 14430 6 60 1590 1 1 jonquera-ga-8-cores C5 C4
6029 14430 6 60 560 1 1 jonquera-ga-8-cores C5 C4
6030 14430 6 60 870 1 1 jonquera-ga-8-cores C5 C4
6031 14430 6 60 1380 1 1 jonquera-ga-8-cores C5 C4
6032 14430 6 60 470 1 1 jonquera-ga-8-cores C5 C4
6033 14430 6 60 1380 1 1 jonquera-ga-8-cores C5 C4
6034 14430 6 60 420 1 1 jonquera-ga-8-cores C5 C4
6035 14430 6 60 950 1 1 jonquera-ga-8-cores C5 C4
6036 14430 6 60 1850 1 1 jonquera-ga-8-cores C5 C4
6037 14430 6 60 770 1 1 jonquera-ga-8-cores C5 C4
6038 14430 6 60 1380 1 1 jonquera-ga-8-cores C5 C4
6039 14430 6 60 1050 1 1 jonquera-ga-8-cores C5 C4
6040 14430 6 60 1190 1 1 jonquera-ga-8-cores C5 C4
6041 14430 6 60 290 1 1 jonquera-ga-8-cores C5 C4
6042 14430 6 60 1570 1 1 jonquera-ga-8-cores C5 C4
6043 14430 6 60 1570 1 1 jonquera-ga-8-cores C5 C4
6044 14430 6 60 600 1 1 jonquera-ga-8-cores C5 C4
6045 14430 6 60 1440 1 1 jonquera-ga-8-cores C5 C4
6046 14430 6 60 1250 1 1 jonquera-ga-8-cores C5 C4
6047 14430 6 60 2370 1 1 jonquera-ga-8-cores C5 C4
6048 14430 6 60 2700 1 1 jonquera-ga-8-cores C5 C4
6049 14430 6 60 620 1 1 jonquera-ga-8-cores C5 C4
6050 14430 6 60 1970 1 1 jonquera-ga-8-cores C5 C4
6051 14430 6 60 1340 1 1 jonquera-ga-8-cores C5 C4
6052 14430 6 60 490 1 1 jonquera-ga-8-cores C5 C4
6053 14430 6 60 510 1 1 jonquera-ga-8-cores C5 C4
6054 14430 6 60 1440 1 1 jonquera-ga-8-cores C5 C4
6055 14430 6 60 2700 1 1 jonquera-ga-8-cores C5 C4
6056 14430 6 60 660 1 1 jonquera-ga-8-cores C5 C4
6057 14430 6 60 2390 1 1 jonquera-ga-8-cores C5 C4
6058 14430 6 60 1320 1 1 jonquera-ga-8-cores C5 C4
6059 14430 6 60 870 1 1 jonquera-ga-8-cores C5 C4
6060 14430 6 60 1130 1 1 jonquera-ga-8-cores C5 C4
7001 17140 7 60 1440 1 1 jonquera-ga-8-cores C5 C4
7002 17140 7 60 1770 1 1 jonquera-ga-8-cores C5 C4
7003 17140 7 60 1180 1 1 jonquera-ga-8-cores C5 C4
7004 17140 7 60 570 1 1 jonquera-ga-8-cores C5 C4
7005 17140 7 60 930 1 1 jonquera-ga-8-cores C5 C4
7006 17140 7 60 1400 1 1 jonquera-ga-8-cores C5 C4
7007 17140 7 60 990 1 1 jonquera-ga-8-cores C5 C4
7008 17140 7 60 3340 1 1 jonquera-ga-8-cores C5 C4
7009 17140 7 60 1330 1 1 jonquera-ga-8-cores C5 C4
7010 17140 7 60 1260 1 1 jonquera-ga-8-cores C5 C4
7011 17140 7 60 420 1 1 jonquera-ga-8-cores C5 C4
7012 17140 7 60 720 1 1 jonquera-ga-8-cores C5 C4
7013 17140 7 60 310 1 1 jonquera-ga-8-cores C5 C4
7014 17140 7 60 1160 1 1 jonquera-ga-8-cores C5 C4
7015 17140 7 60 420 1 1 jonquera-ga-8-cores C5 C4
7016 17140 7 60 610 1 1 jonquera-ga-8-cores C5 C4
7017 17140 7 60 500 1 1 jonquera-ga-8-cores C5 C4
7018 17140 7 60 1660 1 1 jonquera-ga-8-cores C5 C4
7019 17140 7 60 720 1 1 jonquera-ga-8-cores C5 C4
7020 17140 7 60 1850 1 1 jonquera-ga-8-cores C5 C4
7021 17140 7 60 570 1 1 jonquera-ga-8-cores C5 C4
7022 17140 7 60 1420 1 1 jonquera-ga-8-cores C5 C4
7023 17140 7 60 740 1 1 jonquera-ga-8-cores C5 C4
7024 17140 7 60 1400 1 1 jonquera-ga-8-cores C5 C4
7025 17140 7 60 590 1 1 jonquera-ga-8-cores C5 C4
7026 17140 7 60 360 1 1 jonquera-ga-8-cores C5 C4
7027 17140 7 60 1160 1 1 jonquera-ga-8-cores C5 C4
7028 17140 7 60 1420 1 1 jonquera-ga-8-cores C5 C4
7029 17140 7 60 2530 1 1 jonquera-ga-8-cores C5 C4
7030 17140 7 60 460 1 1 jonquera-ga-8-cores C5 C4
7031 17140 7 60 1360 1 1 jonquera-ga-8-cores C5 C4
7032 17140 7 60 1790 1 1 jonquera-ga-8-cores C5 C4
7033 17140 7 60 1710 1 1 jonquera-ga-8-cores C5 C4
7034 17140 7 60 1070 1 1 jonquera-ga-8-cores C5 C4
7035 17140 7 60 330 1 1 jonquera-ga-8-cores C5 C4
7036 17140 7 60 2010 1 1 jonquera-ga-8-cores C5 C4
7037 17140 7 60 400 1 1 jonquera-ga-8-cores C5 C4
7038 17140 7 60 1900 1 1 jonquera-ga-8-cores C5 C4
