taskId time jobId jobSize runtime user peer TraceID Cluster.IAT Cluster.RT
 197320  90288   71  9843 1246   8   8 gwa-t10 C2 C2
 197321  90288   71  9843 3471   8   8 gwa-t10 C2 C2
 197322  90288   71  9843 2546   8   8 gwa-t10 C2 C2
 197323  90288   71  9843 4772   8   8 gwa-t10 C2 C2
 197324  90288   71  9843  842   8   8 gwa-t10 C2 C2
 197325  90288   71  9843  903   8   8 gwa-t10 C2 C2
 197326  90288   71  9843 1849   8   8 gwa-t10 C2 C2
 197327  90288   71  9843 5953   8   8 gwa-t10 C2 C2
 197328  90288   71  9843 1987   8   8 gwa-t10 C2 C2
 197329  90288   71  9843  677   8   8 gwa-t10 C2 C2
 197330  90288   71  9843 4381   8   8 gwa-t10 C2 C2
 197331  90288   71  9843 2615   8   8 gwa-t10 C2 C2
 197332  90288   71  9843 3311   8   8 gwa-t10 C2 C2
 197333  90288   71  9843 3201   8   8 gwa-t10 C2 C2
 197334  90288   71  9843 3336   8   8 gwa-t10 C2 C2
 197335  90288   71  9843 2075   8   8 gwa-t10 C2 C2
 197336  90288   71  9843 4089   8   8 gwa-t10 C2 C2
 197337  90288   71  9843 3423   8   8 gwa-t10 C2 C2
 197338  90288   71  9843  583   8   8 gwa-t10 C2 C2
 197339  90288   71  9843 1183   8   8 gwa-t10 C2 C2
 197340  90288   71  9843 2172   8   8 gwa-t10 C2 C2
 197341  90288   71  9843 2838   8   8 gwa-t10 C2 C2
 197342  90288   71  9843 3691   8   8 gwa-t10 C2 C2
 197343  90288   71  9843 2661   8   8 gwa-t10 C2 C2
 197344  90288   71  9843 2318   8   8 gwa-t10 C2 C2
 197345  90288   71  9843 2848   8   8 gwa-t10 C2 C2
 197346  90288   71  9843  550   8   8 gwa-t10 C2 C2
 197347  90288   71  9843 3506   8   8 gwa-t10 C2 C2
 197348  90288   71  9843 1085   8   8 gwa-t10 C2 C2
 197349  90288   71  9843  853   8   8 gwa-t10 C2 C2
 197350  90288   71  9843 2724   8   8 gwa-t10 C2 C2
 197351  90288   71  9843 1710   8   8 gwa-t10 C2 C2
 197352  90288   71  9843  844   8   8 gwa-t10 C2 C2
 197353  90288   71  9843 4057   8   8 gwa-t10 C2 C2
 197354  90288   71  9843 2104   8   8 gwa-t10 C2 C2
 197355  90288   71  9843 4339   8   8 gwa-t10 C2 C2
 197356  90288   71  9843 2743   8   8 gwa-t10 C2 C2
 197357  90288   71  9843 6083   8   8 gwa-t10 C2 C2
 197358  90288   71  9843 3435   8   8 gwa-t10 C2 C2
 197359  90288   71  9843 2024   8   8 gwa-t10 C2 C2
